名字,正文,时间
"
Michae1Scofield",高学历你给我整笑了 征用宿舍我说啥了 我只是看不惯你上来屁话不说就骂人 反正你骂我我就杀你?? ,20200123-20200207
"
养一只鸭鸭",辅导员已经实锤了就是宿舍楼，别可能可能的了 ,20200123-20200207
"
我是刘小泡",用学生宿舍也是合理的因为学生都放假了宿舍是空的，并且宿舍是成模式的 容易统一管理，并且学校附近配套设施完善。 要相信国家，肯定是搬空之后 并且统一消毒 统一配备一次性被褥设备等 之后 在使用。而不是像别人说的 直接征用。 ,20200123-20200207
"
庞沙利利",已经用了。。 ,20200123-20200207
"
销默笙",不知道该怎么说，倒算不上诋毁体制，只是政治上的事很复杂，不是一般人可以改变左右的。 ,20200123-20200207
"
养一只鸭鸭",辅导员已经实锤了打脸吗就是学生宿舍要不你来武汉看看 ,20200123-20200207
"
吾亦凡人_1106",我知道是合理的啊，就是提醒一下人家学生有担心也正常的，因为他们学校的确被征用了，不是只征用了党校 ,20200123-20200207
"
茗白白8019m4",还有，我已经投诉你了，恶毒的嘴巴，开不出美妙的鲜花哦，这样的人炒股会暴跌的哦 ,20200123-20200207
"
绯衣瑟瑟",您是在搞笑吗？哪天国家不征用公职人员场所，反而征用私人场所，你才得哭吧一个宿舍，你就如丧考妣。你想想你家被征用，你岂不是要哭死了。国家优先使用国有资产，没毛病。你放哪，大家都会选择优先使用国有资产，和单位场所。还有没求着你信，你不回复我，我压根不想理你 ,20200123-20200207
"
xixi621y",疫情再控制不住，你觉得你还有机会看你的东西？现在学生就这点眼界？你觉得国家征用结束不会给你严格消毒？ ,20200123-20200207
"
香蕉玛芬与红酒炖牛肉",把寝室比做自己家我也真是服气奥，合着您现在住在寝室？？？ ,20200123-20200207
"
谁动了我的奇异果",中国发展至今 靠的也是这个体制吧 只能说F4的确有过失 但没必要上升到国家体制方面吧 大部分的官职 不也都在为民办事吗 ,20200123-20200207
"
呆梨子阿",???? 你也是 谢谢 分享你一句话????世界没有在变坏 因为铁幕在三十一年前就落下了 你我只是活在铁幕里望着灯以为那是太阳的蚂蚁 ,20200123-20200207
"
香蕉玛芬与红酒炖牛肉",大学毕业好几年了，不劳您费心 ,20200123-20200207
"
hi佳仔",因为没脑子 ,20200123-20200207
"
请叫我寝室长好吗",同时正将【省委党校新校区】和武汉市属【4所高校】改造为定点医疗点！！！划重点！！！不是只有省委党校，是【和4所高校】 ,20200123-20200207
"
茗白白8019m4",说了一句实话，表达了1.早几天在看到火雷二山（2500床位）装不下一天的确诊病人时，就提出过此项建议（12345市民热线平台、微信平台），优缺点都进行过罗列。2.这会儿才实施，表达一下不满罢了。我自己亦是wh的学子，有资格提建议吗？高学历有脑子的人会提建议，没脑子的只关注自己的一亩三分地 ,20200123-20200207
"
我不哭lsc",别人不会消毒吗？？？ ,20200123-20200207
"
lzz_rhh",对不起 跟你男朋友要99加油 ,20200123-20200207
"
江湖艺人小鹏",不知道您是否看清了我的问题？您是否知道什么叫知情权？假如,20200123-20200207
"
回_憶-QL奇隆滙",笑死我了，你生活还真是寒酸笔记本电脑啥的放学校多的是。谁的钱也不是大风刮来的，弄丢了或者不能用了你给买新的嘛？给买我随时愿意贡献出宿舍 ,20200123-20200207
"
谁动了我的奇异果",那些喷领导的 我没意见 但那些批判体制的 我想提醒一下 中国之所以70年发展至今 也是由你们所喷的体系带来的 谢谢 ,20200123-20200207
"
茳茫决明wx",既然一个省帮一个市，可不可以包机定点运送一部分病人出湖北治疗啊！只要做好定点不会传染给外省人民的。汶川的时候也往外省运了灾民的，这样有利于缓解湖北境内各方面压力。 ,20200123-20200207
"
我不哭lsc",江汉大学 武汉商学院 武汉软件工程职业学院 武汉城市职业学院 ,20200123-20200207
"
姬殓今殇43129",学生宿舍就像学生的另一个家叭，学校教室不比宿舍大？也是有空调可以透风的，桌子拼起来也可以啊为什么不给学生通知就用了学生宿舍？这不是学生自私，谁不喜欢自己的家？ ,20200123-20200207
"
谁动了我的奇异果",其实我觉得武汉市长还不错 起码亲临一线 不管是不是为了挽回民心作秀 他起码做了 ,20200123-20200207
"
呆梨子阿",差我一个道歉快点！ ,20200123-20200207
"
咕噜噜吃太多",害 我们又不是说不同意 只是希望学校妥善处理而已 ,20200123-20200207
"
失联对讲机",好啊，宁把所有身家全都拿出来支援武汉呗反正群众的健康是第一位啊 ,20200123-20200207
"
lzz_rhh",我跟女朋友呆了一学期了，也有感情，这次武汉出事 而且学生并不是很有钱 更何况要出这种来路不明的钱 还要被网络上的一些在他妈别的城市喷子说三道四 我所在之地是中国 我们每个人都有合法权益 我骂的就是那些深明大义 不腰疼的脑残 把他妈内裤套他妈头上 ,20200123-20200207
"
是胖胖的猪头吖",就是！相信现任dada，支持现任dada！ ,20200123-20200207
"
云生365",你有觉悟行了呗？重点都搞不清楚 ,20200123-20200207
"
回_憶-QL奇隆滙",我不跟你提前到招呼，直接把病人安排你家住，完事给你消消毒就走了。你愿意? ,20200123-20200207
"
销魂随风飘散1711",又不是只有床，桌子也有东西。桌子上的东西总要收收吧，不然工作人员怎么用! ,20200123-20200207
"
Christina没勇気小姐",滚尼玛 ,20200123-20200207
"
是胖胖的猪头吖",中央zf里面也分为各个派系......各为各的利益......只能说现任dada是好的，但是受制太多...... ,20200123-20200207
"
苏陌离离",基本物品肯定会统一保管的，但是会有些损失是一定的。这些抱怨的学生还是生活的太安逸了 ，他们不明白目前的形势意味着什么。竟然还有强调学校没有经过个人同意就征用的 ,20200123-20200207
"
绯衣瑟瑟",《物权法》第44条提到，“因抢险、救灾等紧急需要，依照法律规定的权限和程序可以征用单位、个人的不动产或者动产”。《突发事件应对法》第52条和63条、《传染病防治法》第45条，对征用都有详细规定。看到了？依法征用 ,20200123-20200207
"
就你会逼逼赖赖",在安全和隐私很难得到保证的情况下，大多数人还是抵触的 ,20200123-20200207
"
失联对讲机",还有噢 你说的我凭什么就要信捏 不同类别的法存在的归属问题是你一句两句说得清的 依你的逻辑公务人员上班的办公场所被占用的话如果别个不肯那还要受处罚真是太可怜了 ,20200123-20200207
"
我不哭lsc",这些私人用品老师会打包，一点觉悟都没有，什么时候了，谁还要你的内衣，只是往里面搬一张床隔离。 ,20200123-20200207
"
是胖胖的猪头吖",这年头居然还有人说你行你上？？？这都2020了，还活在梦里呢？？？还有，也别说这么大一个系统很难弄之类的来洗了，湖北以外有的省市不就做得挺好的？！！ ,20200123-20200207
"
一张_ZHANG",别给我在这喷，没用你家，你不知道，不通知征用你家试试？？？东西也不搬出来，你试试你放心？ ,20200123-20200207
"
桔子学概论",后面跟着四所市属高校 高校是学校明白吗 ,20200123-20200207
"
绯衣瑟瑟",比不了巨婴只看自己享有的人权，不看自己的人权也是有限制的，在群众生命健康权上，您所谓的财产权都要退后。您也甭跟我说怎么不用我家。国家本来就是优先征用公立国立的资源如果都用完了，好，可以用我家，这也没啥不可以的。 ,20200123-20200207
"
呆梨子阿",我说的是国家。。 你看清楚 我说如果国家再来个疫情2.0 还是当代大学生 那就真的是脑阔不清白 ,20200123-20200207
"
bonbonbl-3",学校公函通知都发了 是宿舍 ,20200123-20200207
"
南小卮",武汉好了，我们就都好了. ,20200123-20200207
"
lzz_rhh",我哪有骂你，你说我脑子不清白气死我了 ,20200123-20200207
"
bonbonbl-3",后面还有高校两个字没看到吗 ,20200123-20200207
"
lzz_rhh",用可以啊，但是保障总的有吧，还有些跟我扯房产证的，我真的去了他??喝他??得血了，法律学哪里去了最基本的都不会，还房产证，学生出钱租用宿舍 在这个期间就属于个人财产 ,20200123-20200207
"
呆梨子阿",我他妈才睡醒 稀里糊涂得被你骂了  快跟我道歉 ！！ ,20200123-20200207
"
bonbonbl-3",学校公函通知都发了哦 ,20200123-20200207
"
双鱼小小小覃",早就该如此 ,20200123-20200207
"
lzz_rhh",我喷的是这些现在道德制高点说话不腰疼的 ,20200123-20200207
"
呆梨子阿",不都是一样的 未必我父母赚的钱不是钱 如果你现在做的这些有用 那我也会加入进来 问题是 现在是没有办法的办法 能怎么办？未必在网上喷这个事情就解决了？你刚真的是莫名其妙把我拿着一喷？？？ ,20200123-20200207
"
一百个月亮·",+1！ ,20200123-20200207
"
失联对讲机",宁那么热情积极没被征用真是可惜了呢 ,20200123-20200207
"
Super丹凤",一个副市长讲话都比省长清楚 ,20200123-20200207
"
一百个月亮·",学校宾馆？ ,20200123-20200207
"
云生365",都说了事情没发生在你身上别这么正义感十足，我需要表达自己合理诉求还要你教我怎么表达吗？我是爆粗口了还是有哪里不雅了吗？吐槽一下还不行？你管的也太宽了 ,20200123-20200207
"
在被子里放屁",缓缓打出一个,20200123-20200207
"
香蕉柠檬糖",好吧，我们宿舍的人每次放假都会把宿舍收拾干净学校检查过再走……看官方放出来的东西应该是全部放一起给用油布挡好了。如果是我住进去了，我都要非生即死了哪里还会想着看看学生的东西，别瞎想了 ,20200123-20200207
"
巴lala小魔仙biubiu",源头是野味的嘛 ,20200123-20200207
"
lzz_rhh",我希望这个事情不好吗？我不想读书吗？是我个人的物品在不知权的情况下被丢出去，而且我找谁赔？我们学生就应该为政府买账吗？我做错了什么吗？我爸妈赚来的不是钱？我就不能为他们的辛苦抱怨？我就应该让父母重新用身体赚来的钱去买我需要的东西？我就不应该提出保障？ ,20200123-20200207
"
春风十里不如你B612",征用的是职业学院，要是武汉大学，恐怕不是这种场景 ,20200123-20200207
"
春风十里不如你B612",征用的是职业学院，要是武汉大学，恐怕不是这种场景 ,20200123-20200207
"
绯衣瑟瑟",国家没有征用啊？ ,20200123-20200207
"
-雨季-不再来",如果你只是想知道自己私人财产的处理方式 那请你注意表达方式????一个接受过高等教育的大学生 在表达自己合理诉求的时候 不应该这种方式 ,20200123-20200207
"
绯衣瑟瑟",学生交不交学费，首先学校资产属于公立，属于国有，学生有使用权，但没有管理权。国家依法对国有资产的使用，甚至不存在征用，调配而已。这和征用宾馆有本质区别，一个是国有，一个是私营。另外国家根据物权法，传染病防治法，突发事件应对法，依法享有征用私人财产，私人单位，私人场所的权利。 ,20200123-20200207
